IDGEO,ID_ENT,ID_MUN,ID_LOC,ID_AGEB,Entity,Municipality,Type,Long,Lat,Pob_MUN
0900200010186,09,002,0001,0186,Ciudad de México,Azcapotzalco,Urbana,-99.19554339234794,19.497942811133463,432 205
0900200010260,09,002,0001,0260,Ciudad de México,Azcapotzalco,Urbana,-99.19823022844788,19.492395303370408,432 205
0900200010415,09,002,0001,0415,Ciudad de México,Azcapotzalco,Urbana,-99.14896218983654,19.47597768341942,432 205
0900200010472,09,002,0001,0472,Ciudad de México,Azcapotzalco,Urbana,-99.18682775061797,19.47595437326453,432 205
0900200010542,09,002,0001,0542,Ciudad de México,Azcapotzalco,Urbana,-99.1606299115063,19.46910737490349,432 205
0900200010580,09,002,0001,0580,Ciudad de México,Azcapotzalco,Urbana,-99.1463982793968,19.46975995299884,432 205
0900200010650,09,002,0001,0650,Ciudad de México,Azcapotzalco,Urbana,-99.2005438804454,19.475270100987505,432 205
090020001067A,09,002,0001,067A,Ciudad de México,Azcapotzalco,Urbana,-99.18468733567738,19.472167272059917,432 205
0900200010769,09,002,0001,0769,Ciudad de México,Azcapotzalco,Urbana,-99.15544739192956,19.46667835007174,432 205
0900200010788,09,002,0001,0788,Ciudad de México,Azcapotzalco,Urbana,-99.14655849855608,19.46586253536295,432 205
0900200010792,09,002,0001,0792,Ciudad de México,Azcapotzalco,Urbana,-99.1864391587488,19.46333493636804,432 205
0900200010824,09,002,0001,0824,Ciudad de México,Azcapotzalco,Urbana,-99.17386491708368,19.4602664132454,432 205
0900200010858,09,002,0001,0858,Ciudad de México,Azcapotzalco,Urbana,-99.16310865499842,19.460642444824536,432 205
0900200011057,09,002,0001,1057,Ciudad de México,Azcapotzalco,Urbana,-99.1677971836877,19.46554157572792,432 205
0900200011061,09,002,0001,1061,Ciudad de México,Azcapotzalco,Urbana,-99.16433177630316,19.463175934932764,432 205
090020001117A,09,002,0001,117A,Ciudad de México,Azcapotzalco,Urbana,-99.20928293913234,19.5063120335863,432 205
0900200010843,09,002,0001,0843,Ciudad de México,Azcapotzalco,Urbana,-99.16764681712588,19.459882014718723,432 205
0900200010966,09,002,0001,0966,Ciudad de México,Azcapotzalco,Urbana,-99.20948661163908,19.50356343964218,432 205
0900200010379,09,002,0001,0379,Ciudad de México,Azcapotzalco,Urbana,-99.1601582031513,19.476293260478847,432 205
0900200010398,09,002,0001,0398,Ciudad de México,Azcapotzalco,Urbana,-99.15638640679136,19.475343151389197,432 205
0900200010275,09,002,0001,0275,Ciudad de México,Azcapotzalco,Urbana,-99.19807896666686,19.48864707309171,432 205
090020001028A,09,002,0001,028A,Ciudad de México,Azcapotzalco,Urbana,-99.19157937206523,19.489789613761896,432 205
0900200010294,09,002,0001,0294,Ciudad de México,Azcapotzalco,Urbana,-99.1930281211872,19.48610406872362,432 205
0900200010307,09,002,0001,0307,Ciudad de México,Azcapotzalco,Urbana,-99.18772407297568,19.48825130566024,432 205
0900200010311,09,002,0001,0311,Ciudad de México,Azcapotzalco,Urbana,-99.18461553206956,19.48354262758785,432 205
0900200010326,09,002,0001,0326,Ciudad de México,Azcapotzalco,Urbana,-99.18112524949672,19.486544939011317,432 205
0900200010330,09,002,0001,0330,Ciudad de México,Azcapotzalco,Urbana,-99.17672153416126,19.487215285492923,432 205
0900200010345,09,002,0001,0345,Ciudad de México,Azcapotzalco,Urbana,-99.17722386858898,19.48152089572544,432 205
090020001035A,09,002,0001,035A,Ciudad de México,Azcapotzalco,Urbana,-99.17078586271604,19.48113854080788,432 205
0900200010468,09,002,0001,0468,Ciudad de México,Azcapotzalco,Urbana,-99.18794447424138,19.48250682811439,432 205
0900200010487,09,002,0001,0487,Ciudad de México,Azcapotzalco,Urbana,-99.18228571252526,19.48031975344133,432 205
0900200010491,09,002,0001,0491,Ciudad de México,Azcapotzalco,Urbana,-99.1793847836884,19.47711007510713,432 205
0900200010504,09,002,0001,0504,Ciudad de México,Azcapotzalco,Urbana,-99.17789125972892,19.472916009191536,432 205
0900200010519,09,002,0001,0519,Ciudad de México,Azcapotzalco,Urbana,-99.17353028263656,19.471269659791105,432 205
0900200011127,09,002,0001,1127,Ciudad de México,Azcapotzalco,Urbana,-99.19273183295785,19.506557093678897,432 205
0900200010171,09,002,0001,0171,Ciudad de México,Azcapotzalco,Urbana,-99.20103443511124,19.49518124523592,432 205
0900200010364,09,002,0001,0364,Ciudad de México,Azcapotzalco,Urbana,-99.16330118533229,19.475187010703834,432 205
0900200010383,09,002,0001,0383,Ciudad de México,Azcapotzalco,Urbana,-99.15550589069716,19.478810090406395,432 205
0900200010561,09,002,0001,0561,Ciudad de México,Azcapotzalco,Urbana,-99.15171342136613,19.470730273407337,432 205
0900200010576,09,002,0001,0576,Ciudad de México,Azcapotzalco,Urbana,-99.1491513033108,19.470794961761413,432 205
0900200010947,09,002,0001,0947,Ciudad de México,Azcapotzalco,Urbana,-99.18623645121224,19.505189224676453,432 205
0900200010896,09,002,0001,0896,Ciudad de México,Azcapotzalco,Urbana,-99.17293116887492,19.47291805784837,432 205
0900200011184,09,002,0001,1184,Ciudad de México,Azcapotzalco,Urbana,-99.2060785170972,19.50238838434569,432 205
0900200010256,09,002,0001,0256,Ciudad de México,Azcapotzalco,Urbana,-99.20487724832198,19.488350182011832,432 205
0900200010129,09,002,0001,0129,Ciudad de México,Azcapotzalco,Urbana,-99.1783234040698,19.498537246886578,432 205
0900200010133,09,002,0001,0133,Ciudad de México,Azcapotzalco,Urbana,-99.1807510471574,19.49527500061229,432 205
0900200010203,09,002,0001,0203,Ciudad de México,Azcapotzalco,Urbana,-99.18463645835674,19.49388769338549,432 205
0900200010218,09,002,0001,0218,Ciudad de México,Azcapotzalco,Urbana,-99.18606797775814,19.49120707912883,432 205
0900200010222,09,002,0001,0222,Ciudad de México,Azcapotzalco,Urbana,-99.17838363095396,19.491328639774352,432 205
0900200010400,09,002,0001,0400,Ciudad de México,Azcapotzalco,Urbana,-99.15234791818808,19.47575128194834,432 205
0900200010434,09,002,0001,0434,Ciudad de México,Azcapotzalco,Urbana,-99.19998142535366,19.485089363247457,432 205
0900200010449,09,002,0001,0449,Ciudad de México,Azcapotzalco,Urbana,-99.20192843897506,19.480516056356272,432 205
0900200010557,09,002,0001,0557,Ciudad de México,Azcapotzalco,Urbana,-99.15536634435132,19.471714468227677,432 205
0900200010631,09,002,0001,0631,Ciudad de México,Azcapotzalco,Urbana,-99.20855416130638,19.480085074383165,432 205
0900200010699,09,002,0001,0699,Ciudad de México,Azcapotzalco,Urbana,-99.1803677203151,19.46857017452466,432 205
0900200010701,09,002,0001,0701,Ciudad de México,Azcapotzalco,Urbana,-99.18025103717169,19.46545452709837,432 205
0900200010716,09,002,0001,0716,Ciudad de México,Azcapotzalco,Urbana,-99.17450402436184,19.46602577354057,432 205
0900200010720,09,002,0001,0720,Ciudad de México,Azcapotzalco,Urbana,-99.16843314294177,19.468320815157472,432 205
090020001074A,09,002,0001,074A,Ciudad de México,Azcapotzalco,Urbana,-99.16481598870033,19.46980383138887,432 205
0900200010754,09,002,0001,0754,Ciudad de México,Azcapotzalco,Urbana,-99.16278593427472,19.4664100131259,432 205
0900200010773,09,002,0001,0773,Ciudad de México,Azcapotzalco,Urbana,-99.15026543667987,19.46530893248172,432 205
0900200010805,09,002,0001,0805,Ciudad de México,Azcapotzalco,Urbana,-99.18046002828366,19.46310086917354,432 205
0900200010839,09,002,0001,0839,Ciudad de México,Azcapotzalco,Urbana,-99.1693320504358,19.463706621354177,432 205
0900200010909,09,002,0001,0909,Ciudad de México,Azcapotzalco,Urbana,-99.17083105529262,19.47287107917778,432 205
